year,start_ts,end_ts,yield,yield_x1,yield_x2,yield_x3,yield_x4,kWh_x1,kWh_x2,kWh_x3,kWh_x4,depr_panel,depr_battery,n_panel,n_battery,grid_amp,grid_volt,spot_min,spot_max,spot_mean,spot_std,pv_kWh_min,pv_kWh_max,pv_kWh_mean,pv_kWh_std
2021,2021-11-15 12:00:00,2021-11-16 23:00:00,102.26,80.35,0.0,172.1,-97.44,40.38,0.0,79.18,81.63,21.24,31.51,100,9,63,400,1020.99,2238.63,1791.09,382.81,0.0,0.15,0.01,0.03
2021,2021-08-21 12:00:00,2021-08-22 23:00:00,243.73,215.26,0.0,104.04,-0.0,383.77,140.72,136.5,0.0,21.24,54.33,100,9,63,400,496.41,834.2,620.18,102.02,0.0,0.68,0.21,0.25
2021,2021-02-16 12:00:00,2021-02-17 23:00:00,76.32,89.83,0.0,39.26,-0.0,223.72,81.65,79.2,0.0,21.24,31.52,100,9,63,400,278.14,624.02,407.19,97.93,0.0,0.71,0.13,0.22
2021,2021-08-01 12:00:00,2021-08-02 23:00:00,246.55,217.28,0.0,112.43,-0.0,414.68,160.38,155.57,0.0,21.24,61.92,100,9,63,400,363.99,874.06,553.44,142.89,0.0,0.8,0.26,0.29
2021,2021-04-07 12:00:00,2021-04-08 23:00:00,109.58,127.23,0.0,9.95,-0.0,337.35,49.06,15.98,0.0,21.24,6.36,100,9,63,400,135.86,738.15,334.22,108.94,0.0,0.74,0.18,0.24
2021,2021-07-10 12:00:00,2021-07-11 23:00:00,204.54,197.54,0.0,59.3,-0.0,374.22,80.45,78.03,0.0,21.24,31.06,100,9,63,400,475.97,770.7,594.73,98.23,0.0,0.81,0.18,0.22
2021,2021-03-08 12:00:00,2021-03-09 23:00:00,82.37,79.71,0.0,51.52,-0.0,186.48,71.55,69.4,0.0,21.24,27.62,100,9,63,400,320.42,771.18,465.52,112.98,0.0,0.78,0.1,0.2
2021,2021-03-11 12:00:00,2021-03-12 23:00:00,41.41,62.65,0.0,0.0,-0.0,286.93,37.33,0.0,0.0,21.24,0.0,100,9,63,400,119.13,392.94,223.89,64.79,0.0,0.75,0.17,0.25
2021,2021-03-02 12:00:00,2021-03-03 23:00:00,50.52,61.95,0.0,30.76,-0.0,180.31,54.28,52.65,0.0,21.24,20.95,100,9,63,400,288.58,589.73,394.95,78.6,0.0,0.7,0.09,0.17
2021,2021-03-06 12:00:00,2021-03-07 23:00:00,38.77,57.56,0.0,33.88,-0.0,217.03,81.42,78.98,0.0,21.24,31.43,100,9,63,400,120.54,452.92,247.13,105.69,0.0,0.69,0.11,0.2
2021,2021-11-04 12:00:00,2021-11-05 23:00:00,75.56,77.01,0.0,60.34,-9.04,84.4,0.0,79.19,81.64,21.24,31.52,100,9,63,400,54.52,1494.62,687.28,450.22,0.0,0.18,0.03,0.05
2021,2021-07-26 12:00:00,2021-07-27 23:00:00,198.05,189.5,0.0,58.0,-0.0,298.51,73.07,70.88,0.0,21.24,28.21,100,9,63,400,528.18,832.51,662.8,87.71,0.0,0.8,0.15,0.2
2021,2021-07-04 12:00:00,2021-07-05 23:00:00,304.76,286.61,0.0,74.91,-0.0,431.2,92.03,89.27,0.0,21.24,35.53,100,9,63,400,513.63,877.48,681.43,103.38,0.0,0.81,0.24,0.27
2021,2021-07-10 12:00:00,2021-07-11 23:00:00,204.54,197.54,0.0,59.3,-0.0,374.22,80.45,78.03,0.0,21.24,31.06,100,9,63,400,475.97,770.7,594.73,98.23,0.0,0.81,0.18,0.22
2021,2021-11-10 12:00:00,2021-11-11 23:00:00,83.49,25.68,0.0,335.32,-183.66,17.74,22.29,182.44,165.8,21.24,72.61,100,9,63,400,1034.04,2194.09,1412.01,315.02,0.0,0.09,0.01,0.03
2021,2021-09-03 12:00:00,2021-09-04 23:00:00,124.85,136.82,0.0,30.53,-9.8,193.41,14.04,28.81,15.66,21.24,11.47,100,9,63,400,625.81,1070.22,809.77,141.54,0.0,0.31,0.08,0.1
2021,2021-07-21 12:00:00,2021-07-22 23:00:00,289.36,250.12,0.0,120.99,-0.0,395.21,156.73,152.03,0.0,21.24,60.51,100,9,63,400,550.47,844.92,665.5,92.85,0.0,0.81,0.22,0.26
2021,2021-11-25 12:00:00,2021-11-26 23:00:00,92.05,25.29,0.0,204.41,-74.85,17.23,1.55,104.4,106.08,21.24,41.55,100,9,63,400,648.87,2148.93,1166.75,459.07,0.0,0.05,0.01,0.01
2021,2021-06-13 12:00:00,2021-06-14 23:00:00,173.01,149.84,0.0,107.59,-0.13,360.72,147.01,158.4,16.29,21.24,63.04,100,9,63,400,7.44,760.57,467.13,225.09,0.0,0.7,0.21,0.23
