HourUTC,HourDK,PriceArea,SpotPriceDKK,SpotPriceEUR,Date,Hour
2021-01-02 23:00:00,2021-01-03 00:00:00,DK2,343.100006,46.110001,2021-01-03,0
2021-01-03 00:00:00,2021-01-03 01:00:00,DK2,309.470001,41.59,2021-01-03,1
2021-01-03 01:00:00,2021-01-03 02:00:00,DK2,276.880005,37.209999,2021-01-03,2
2021-01-03 02:00:00,2021-01-03 03:00:00,DK2,261.769989,35.18,2021-01-03,3
2021-01-03 03:00:00,2021-01-03 04:00:00,DK2,183.419998,24.65,2021-01-03,4
2021-01-03 04:00:00,2021-01-03 05:00:00,DK2,177.470001,23.85,2021-01-03,5
2021-01-03 05:00:00,2021-01-03 06:00:00,DK2,178.960007,24.049999,2021-01-03,6
2021-01-03 06:00:00,2021-01-03 07:00:00,DK2,184.539993,24.799999,2021-01-03,7
2021-01-03 07:00:00,2021-01-03 08:00:00,DK2,185.800003,24.969999,2021-01-03,8
2021-01-03 08:00:00,2021-01-03 09:00:00,DK2,190.860001,25.65,2021-01-03,9
2021-01-03 09:00:00,2021-01-03 10:00:00,DK2,193.470001,26.0,2021-01-03,10
2021-01-03 10:00:00,2021-01-03 11:00:00,DK2,200.089996,26.889999,2021-01-03,11
2021-01-03 11:00:00,2021-01-03 12:00:00,DK2,192.5,25.870001,2021-01-03,12
2021-01-03 12:00:00,2021-01-03 13:00:00,DK2,192.199997,25.83,2021-01-03,13
2021-01-03 13:00:00,2021-01-03 14:00:00,DK2,193.610001,26.02,2021-01-03,14
2021-01-03 14:00:00,2021-01-03 15:00:00,DK2,197.190002,26.5,2021-01-03,15
2021-01-03 15:00:00,2021-01-03 16:00:00,DK2,247.559998,33.27,2021-01-03,16
2021-01-03 16:00:00,2021-01-03 17:00:00,DK2,327.109985,43.959999,2021-01-03,17
2021-01-03 17:00:00,2021-01-03 18:00:00,DK2,322.570007,43.349998,2021-01-03,18
2021-01-03 18:00:00,2021-01-03 19:00:00,DK2,207.75,27.92,2021-01-03,19
2021-01-03 19:00:00,2021-01-03 20:00:00,DK2,205.070007,27.559999,2021-01-03,20
2021-01-03 20:00:00,2021-01-03 21:00:00,DK2,201.199997,27.040001,2021-01-03,21
2021-01-03 21:00:00,2021-01-03 22:00:00,DK2,194.809998,26.18,2021-01-03,22
2021-01-03 22:00:00,2021-01-03 23:00:00,DK2,185.429993,24.92,2021-01-03,23
2021-01-03 23:00:00,2021-01-04 00:00:00,DK2,183.5,24.66,2021-01-04,0
2021-01-04 00:00:00,2021-01-04 01:00:00,DK2,178.960007,24.049999,2021-01-04,1
2021-01-04 01:00:00,2021-01-04 02:00:00,DK2,177.690002,23.879999,2021-01-04,2
2021-01-04 02:00:00,2021-01-04 03:00:00,DK2,178.809998,24.030001,2021-01-04,3
2021-01-04 03:00:00,2021-01-04 04:00:00,DK2,182.899994,24.58,2021-01-04,4
2021-01-04 04:00:00,2021-01-04 05:00:00,DK2,192.279999,25.84,2021-01-04,5
2021-01-04 05:00:00,2021-01-04 06:00:00,DK2,209.910004,28.209999,2021-01-04,6
2021-01-04 06:00:00,2021-01-04 07:00:00,DK2,370.26001,49.759998,2021-01-04,7
2021-01-04 07:00:00,2021-01-04 08:00:00,DK2,404.940002,54.419998,2021-01-04,8
2021-01-04 08:00:00,2021-01-04 09:00:00,DK2,414.390015,55.689999,2021-01-04,9
2021-01-04 09:00:00,2021-01-04 10:00:00,DK2,415.209991,55.799999,2021-01-04,10
2021-01-04 10:00:00,2021-01-04 11:00:00,DK2,433.589996,58.27,2021-01-04,11
2021-01-04 11:00:00,2021-01-04 12:00:00,DK2,428.01001,57.52,2021-01-04,12
2021-01-04 12:00:00,2021-01-04 13:00:00,DK2,420.640015,56.529999,2021-01-04,13
2021-01-04 13:00:00,2021-01-04 14:00:00,DK2,431.5,57.990002,2021-01-04,14
2021-01-04 14:00:00,2021-01-04 15:00:00,DK2,431.799988,58.029999,2021-01-04,15
2021-01-04 15:00:00,2021-01-04 16:00:00,DK2,450.179993,60.5,2021-01-04,16
2021-01-04 16:00:00,2021-01-04 17:00:00,DK2,485.299988,65.220001,2021-01-04,17
2021-01-04 17:00:00,2021-01-04 18:00:00,DK2,446.829987,60.049999,2021-01-04,18
2021-01-04 18:00:00,2021-01-04 19:00:00,DK2,399.799988,53.73,2021-01-04,19
2021-01-04 19:00:00,2021-01-04 20:00:00,DK2,280.380005,37.68,2021-01-04,20
2021-01-04 20:00:00,2021-01-04 21:00:00,DK2,286.399994,38.490002,2021-01-04,21
2021-01-04 21:00:00,2021-01-04 22:00:00,DK2,230.300003,30.950001,2021-01-04,22
2021-01-04 22:00:00,2021-01-04 23:00:00,DK2,203.509995,27.35,2021-01-04,23
2021-01-04 23:00:00,2021-01-05 00:00:00,DK2,206.850006,27.809999,2021-01-05,0
2021-01-05 00:00:00,2021-01-05 01:00:00,DK2,204.169998,27.450001,2021-01-05,1
2021-01-05 01:00:00,2021-01-05 02:00:00,DK2,201.419998,27.08,2021-01-05,2
